id,mes,ano,bairro,morador,casa,lat_campo,lon_campo,point_id,point_year_id,distancia_casa_mata,lta,area,tipo,local,especie,total,femeas,machos,dout_mest
298,01/09/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,bananal_isca_humana,L. hirsuta,2,2,0,mestrado
299,01/09/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,bananal_isca_humana,L. shannoni,1,1,0,mestrado
300,01/09/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,bananal_isca_humana,L. monticola,1,1,0,mestrado
301,01/09/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,luminosa,bananal_tronco,L. intermedia,11,10,1,mestrado
302,01/09/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,luminosa,bananal_tronco,L. fischeri,1,1,0,mestrado
303,01/09/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,luminosa,bananal_tronco,L. whitmani,1,1,0,mestrado
304,01/09/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,bananal_tronco,L. intermedia,99,43,56,mestrado
305,01/09/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,bananal_tronco,L. fischeri,1,1,0,mestrado
306,01/09/1992,1992,Cascata,Hospital,,-22.60011,-43.718692,25,25_1992,0-200,,,manual,bananal_tronco,L. whitmani,5,3,2,mestrado
307,01/10/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,luminosa,intra_teto,L. intermedia,4,2,2,mestrado
308,01/10/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,luminosa,intra_teto,L. migonei,3,1,2,mestrado
309,01/10/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,luminosa,intra_teto,L. fischeri,1,1,0,mestrado
310,01/10/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,luminosa,intra_teto,L. whitmani,1,0,1,mestrado
311,01/10/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_interna,L. intermedia,42,37,5,mestrado
312,01/10/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_interna,L. migonei,1,0,1,mestrado
313,01/10/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_interna,L. fischeri,5,4,1,mestrado
314,01/10/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,parede_interna,L. shannoni,2,0,2,mestrado
